REM Base64 has to be broken up into chunks, otherwise Flipper crashes

REM Encode file to base64. On Linux: 
REM cat file.txt | base64 -w 0 > encoded.txt 
REM and then to prepend STRING to each line
REM awk '{print "prefix" $0}' encoded.txt > encoded_string.txt
REM then copy and paste, then remove the first STRING and replace with $b64="

REM May need to uncomment and adjust per-line delay. Otherwise it may stumble over itself
REM particularly if the base64 is very large
REM DEFAULTDELAY 100

REM slow down flipper string entry so keyboard buffer doesn't get broken
REM not sure if needed or not
STRING_DELAY 100
STRING wB15ILTDyww3iIc29rjmphCUpBAQEBAQEBAQEGj42yCz2jugiSUz2ax+YclGBwLG6gtym1lCVS+l
STRING xGge59DP7xETc09Q4nf7r9S38R2QZp8RpKqQQSNdS1R2hmAaXfwnZ3ogkSROZuNOaDkUGEBpvINS
STRING g7Pc6zYoyWvk+YfK3iUF3RQtp6ZkbG5WtGg5LJDugICAgICAgICAgICDnLCyQeYa80EV9PIwXYcw
STRING UCBWUNNXRmOpia9vJwUJbUdN7rTiHxHPDfhzuLjblc7oElO12rdCgiyROYfMPog5xkeKOiCzw+Fs
STRING spkLTYbnn0UoWykEBAQEBAQEBAQEBAQEBBykgZJuLHmEEWSnfHqPMOixHHfTikpV7MWoKiV1PHUt
STRING bNcgRv8AKXHpff0WPFGcMuzqxnGyPTB8lcI4mEknU/dCnO7HGz1MEQhiDBw3PNZodEBAQEBAQEBA
STRING QEBAQEBAQEBBxlp2SakWdzCCtnwsGYSiGN0jdnDRYcLLinGEjDKA0xdJJ8btAOQWUQxWCkEBAQEB
STRING AQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBAQEBB//Z";

STRING $desktop = [Environment]::GetFolderPath("Desktop");
STRING $filename = $desktop+"\file.jpg";

STRING $bytes = [Convert]::FromBase64String($b64);
STRING [IO.File]::WriteAllBytes($filename, $bytes);
STRING Invoke-Item $filename;

ENTER
